"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BNO055 IMU";"BNO055_adafruit_bothversions";1;"BNO055_adafruit";;;
2;"G***";"DTLJ_logo_arc_30mm";1;"LOGO";;;
3;"G***";"DTLJ_oui";1;"LOGO";;;
4;"REF**,REF**";"MountingHole_3.2mm_M3_DIN965";2;"MountingHole_3.2mm_M3_DIN965";;;
5;"C1,C2";"C_1206_3216Metric";2;"10uF, 35V";;;
6;"C3";"C_1206_3216Metric";1;"0.1uF";;;
7;"TVSDIODE";"SOT-23-3";1;"TVSDIODE";;;
8;"J1";"TerminalBlock_bornier-4_P5.08mm";1;"INPUT";;;
9;"L1";"L_1206_3216Metric";1;"6.8uH";;;
10;"R1,R2";"R_1206_3216Metric";2;"R_US";;;
11;"TERM";"R_1206_3216Metric";1;"120";;;
12;"DC/DC";"3-SIP_Module_V7805-500";1;"TR05S05";;;
13;"RECV,SEND";"LED_1206_3216Metric";2;"LED";;;
14;"TEENSYLC";"Teensy_LC_sidesonly";1;"Teensy-LC";;;
15;"RS485";"SOIC-8_3.9x4.9mm_P1.27mm";1;"MAX3072E";;;
